category_name;subcategory_name;subsubcategory_name;subsubsubcategory_name;name;price;nutrition_info;composition;general_info;image;features;extra
Овощи, фрукты, зелень;Овощи;;;Редис 500гр;74₽;;;Вес, г: 500;https://img.05.ru/resize/nc_SSdQCeARObiSSQhPofPLh3xldTqAEAOVm0N5QQpg//rs:fit:912:606:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxODkyNDQvMi5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Капуста 1-1,8 кг;82₽;;;"Энергетическая ценность в 100 г: 27
Белки в 100 г: 1.8
Жиры в 100 г: 0.1
Углеводы в 100 г: 4.7
Дополнительная информация: в 100 г свежей капусты содержатся 2% суточной нормы белка, жиров — 0% и углеводов — 2%. Из жирорастворимых витаминов в свежей капусте присутствуют A, бета-каротин, альфа-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/qJHpb56bQsLQlkr9G0EKC0JHQF7bILvJAkSX1WCD1dE//rs:fit:1017:943:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxOTU1NjgvMy5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Цветной перец болгарский 2шт;67₽;;;"Энергетическая ценность в 100 г: 20
Белки в 100 г: 0.86
Жиры в 100 г: 0.17
Углеводы в 100 г: 4.64
Дополнительная информация: в 100 г болгарского перца содержатся 1% суточной нормы белка, жиров — 0% и углеводов — 2%. Из жирорастворимых витаминов в болгарском перце присутствуют A, бета-каротин, альфа-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/GdrOx_hwiNVPj2l9vZKx5IidgVK7tEUZYPKe5dsAiCg//rs:fit:500:400:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxODg1NTkvMS5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Зеленый перец болгарский, 1 кг;74₽;;;"Энергетическая ценность в 100 г: 20
Белки в 100 г: 0.9
Жиры в 100 г: 0.2
Углеводы в 100 г: 2.9
Вес, г: 1000";https://img.05.ru/resize/IPOl5bnzQOxCulN1Z3fx59QOQrpTvNZaMVMmnlIRTQs//rs:fit:450:312:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxOTE4MzYvMS5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Пекинская капуста 1шт;103₽;;;"Энергетическая ценность в 100 г: 13
Белки в 100 г: 1.5
Жиры в 100 г: 0.2
Углеводы в 100 г: 2.18
Дополнительная информация: в 100 г пекинской капусты содержатся 2% суточной нормы белка, жиров — 0% и углеводов — 1%. Из жирорастворимых витаминов в пекинской капусте присутствуют A, бета-каротин, альфа-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/xuLmAZ3NmYj38fLAolbqXgK-NZFND_5H7k4Scaul4O4//rs:fit:1626:1088:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAyMDU0MjAvMS5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Перчики чили 1 упаковка;143₽;;;"Энергетическая ценность в 100 г: 40
Белки в 100 г: 2
Жиры в 100 г: 0.2
Углеводы в 100 г: 8
Дополнительная информация: в 100 г острого красного перца чили содержатся 3% суточной нормы белка, жиров — 1% и углеводов — 3%. Из жирорастворимых витаминов в остром красном перце чили присутствуют A, бета-каротин, альфа-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/tl1p6_C9nyES8moJgbxJhLwJwYUj-GUsi8NPpUBla3U//rs:fit:968:730:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxOTk0MDIvMi5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Помидоры розовые 500гр;45₽;;;"Энергетическая ценность в 100 г: 24
Белки в 100 г: 1.1
Жиры в 100 г: 0.2
Углеводы в 100 г: 5.2
Вес, г: 500
Дополнительная информация: в 100 г помидоров содержатся 1% суточной нормы белка, жиров — 0% и углеводов — 1%. Из жирорастворимых витаминов в помидорах присутствуют A, бета-каротин, альфа-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/rajDlLvomH2ZUpLhPXOIA3feOn6FVTrTf0l7MqeT4F8//rs:fit:1000:903:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxODUxNTUvMi5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Бурак 1 кг;42₽;;;"Энергетическая ценность в 100 г: 43
Белки в 100 г: 1.61
Жиры в 100 г: 0.17
Углеводы в 100 г: 9.56
Вес, г: 1000
Дополнительная информация: в 100 г свеклы содержатся 2% суточной нормы белка, жиров — 0% и углеводов — 3%. Из жирорастворимых витаминов в свекле присутствуют A, бета-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/hByOGiS52Wj39QDgpqZL9o7TSzUVo6TGm4Bv6j5q3Do//rs:fit:873:781:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxODc5MDgvMS5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Картофель 1кг;34₽;;;"Энергетическая ценность в 100 г: 77
Белки в 100 г: 2
Жиры в 100 г: 0.1
Углеводы в 100 г: 17
Вес, г: 1000
Дополнительная информация: в 100 г картофеля содержатся 3% суточной нормы белка, жиров — 0% и углеводов — 6%. Из жирорастворимых витаминов в картофеле присутствуют бета-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/Ecu8q--8vlFIMObi2xGzqF4JbzK0JTbgRv0Iv2kn9GU//rs:fit:400:400:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAxODUxNDcvMS5qcGc;;
Овощи, фрукты, зелень;Овощи;;;Сельдерей 1 упаковка;110₽;;;"Энергетическая ценность в 100 г: 16
Белки в 100 г: 0.69
Жиры в 100 г: 0.17
Углеводы в 100 г: 2.97
Дополнительная информация: в 100 г сельдерея содержатся 1% суточной нормы белка, жиров — 0% и углеводов — 1%. Из жирорастворимых витаминов в сельдерее присутствуют A, бета-каротин, E и K. Из водорастворимых — витамины C, B1, B2, B3 (PP), B4, B5, B6 и B9.";https://img.05.ru/resize/RKEXEmXEACxkiaA0iWM4vBJj8qi9PR1P5LjBOB420bY//rs:fit:910:454:0:0/q:80/bG9jYWw6Ly8vdXBsb2FkL2libG9jay9kYXJrc3RvcmUvMDAwMDAyMDE2NjkvMS5qcGc;;
